Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,ph102570,27/02/2018,"£6,524.00 ",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d1074569,28/02/2018,"£5,000.00 ",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025424,28/02/2018,"£54,761.32 ",BURY MBC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025435,28/02/2018,"£21,200.70 ",AXIOM EDUCATION ROCHDALE LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025437,28/02/2018,"£6,329.89 ",AXIOM EDUCATION ROCHDALE LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006306,28/02/2018,"£105,167.00 ",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,RESOURCES
Rochdale Borough Council,ph102576,28/02/2018,"£6,232.47 ",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,ph102577,28/02/2018,"£17,867.95 ",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1022639,28/02/2018,"£14,000.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022640,28/02/2018,"£7,700.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022644,28/02/2018,"£13,333.28 ",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022645,28/02/2018,"£20,000.00 ",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1074599,01/03/2018,"£7,250.00 ",SEVEN ARCHITECTURE LTD,ARCHITECTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025439,01/03/2018,"£306,246.28 ",INSPIREDSPACES ROCHDALE LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025441,01/03/2018,"£37,100.00 ",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1015293,01/03/2018,"£9,004.00 ",SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph102580,02/03/2018,"£9,212.50 ",RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,x1015296,02/03/2018,"£20,000.00 ",POSITIVE STEPS,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1074649,05/03/2018,"£21,048.25 ",THE RIVERSIDE GROUP LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000007,05/03/2018,"£13,809.20 ",BT WHOLESALE BROADBAND,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph102582,05/03/2018,"£34,350.89 ",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,s1022651,05/03/2018,"£10,890.00 ",K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022660,05/03/2018,"£16,800.00 ",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,RESIDENTIAL LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,x1015300,05/03/2018,"£16,616.00 ",YOUTH JUSTICE BOARD,SERVICE LEVEL AGREEMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015301,05/03/2018,"£5,539.00 ",YOUTH JUSTICE BOARD,SERVICE LEVEL AGREEMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d1074656,06/03/2018,"£7,310.00 ",A B MARKETS,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1074659,06/03/2018,"£10,215.75 ",ROCHDALE DEVELOPMENT AGENCY,MARKETING EXPENDITURE,ECONOMY DIRECTORATE
Rochdale Borough Council,d1074671,06/03/2018,"£17,239.30 ",ROCHDALE BOROUGHWIDE HOUSING,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000008,06/03/2018,"£5,155.00 ",OXFORD COMPUTER CONSULTANTS LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000012,06/03/2018,"£37,920.00 ",BLUERAQ NETWORKS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000013,06/03/2018,"£16,708.00 ",CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025478,06/03/2018,"£10,000.00 ",SUPPLY DESK,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025479,06/03/2018,"£10,000.00 ",SUPPLY DESK,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1022662,06/03/2018,"£6,056.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022664,06/03/2018,"£5,711.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022670,06/03/2018,"£6,001.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022671,06/03/2018,"£6,421.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022672,06/03/2018,"£5,996.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022683,06/03/2018,"£5,687.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022685,06/03/2018,"£5,499.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001873,06/03/2018,"£25,750.00 ",THE STROKE ASSOCIATION,VOLUNTARY ASSOCIATIONS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,x1015313,06/03/2018,"£9,000.00 ",BARNARDOS,ADOPTION PAYMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015314,06/03/2018,"£18,000.00 ",BARNARDOS,ADOPTION PAYMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015318,06/03/2018,"£25,079.50 ",BURY MBC,CONSULTANT FEES,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d2000021,07/03/2018,"£23,400.00 ",RISUAL LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000022,07/03/2018,"£9,520.00 ",FREEDOM COMMUNICATIONS,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000016,07/03/2018,"£21,457.30 ",TRULINE CONSTRUCTION AND INTERIOR SERVICES LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1025495,07/03/2018,"£29,400.00 ",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006318,07/03/2018,"£9,150.00 ",NORTHGATE PUBLIC SERVICES UK LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,d1074707,08/03/2018,"£20,000.00 ",ROCHDALE DEVELOPMENT AGENCY,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2000029,08/03/2018,"£10,000.00 ",QA LTD,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000033,08/03/2018,"£55,882.00 ",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025504,08/03/2018,"£99,329.79 ",INSPIREDSPACES ROCHDALE LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025509,08/03/2018,"£6,757.56 ",ACCESS TO MUSIC LTD,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006324,08/03/2018,"£100,000.00 ",MANCHESTER CITY COUNCIL,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,f1006330,08/03/2018,"£7,000.00 ",MS LOUISE QUIGLEY,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1006331,08/03/2018,"£187,116.24 ",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,ph102606,08/03/2018,"£9,071.00 ",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,r1001795,08/03/2018,"£36,000.00 ",TRANSPORT FOR GREATER MANCHESTER,BUS EXPENSES,ECONOMY DIRECTORATE
Rochdale Borough Council,w1001876,08/03/2018,"£16,771.34 ",PENNINE CARE NHS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,w1001877,08/03/2018,"£7,987.26 ",PENNINE CARE NHS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,w1001878,08/03/2018,"£8,385.67 ",PENNINE CARE NHS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1074713,09/03/2018,"£45,000.00 ",THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025514,09/03/2018,"£409,856.13 ",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025515,09/03/2018,"£334,764.35 ",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025516,09/03/2018,"£697,649.15 ",AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1022714,09/03/2018,"£163,390.76 ",N COMPASS,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1022715,09/03/2018,"£80,000.00 ",ROSS CARE,GRANTS TO OTHER BODIES,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1074729,12/03/2018,"£40,604.43 ",CARIBOU GREEN WARMTH LLP,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074740,12/03/2018,"£9,125.00 ",ROCHDALE MEMORIAL SERVICE LTD,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000025,12/03/2018,"£58,886.00 ",J GREENWOOD (BUILDERS) LIMITED,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025520,12/03/2018,"£29,952.70 ",AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006341,12/03/2018,"£12,816.28 ",PHYSICAL COMPANY,PURCHASE OF FURNITURE AND EQUIPMENT,PUBLIC HEALTH
Rochdale Borough Council,r1001796,12/03/2018,"£145,253.23 ",CANAL & RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY DIRECTORATE
Rochdale Borough Council,r1001799,12/03/2018,"£8,250.00 ",WILDE CONSULTING ENGINEERS,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1001801,12/03/2018,"£145,253.23 ",CANAL & RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY DIRECTORATE
Rochdale Borough Council,s1022720,12/03/2018,"£5,972.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d2000041,13/03/2018,"£5,462.71 ",GAMMA BUSINESS COMMUNICATIONS,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000043,13/03/2018,"£55,882.00 ",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000029,13/03/2018,"£30,924.55 ",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph102614,13/03/2018,"£109,737.18 ",VIRGIN CARE SERVICES LIMITED,VIRGIN CARE,PUBLIC HEALTH
Rochdale Borough Council,r1001803,13/03/2018,"£23,725.98 ",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,s1022732,13/03/2018,"£9,000.00 ",HEYWOOD MIDDLETON AND ROCHDALE CIRCLE,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1074785,14/03/2018,"£5,523.75 ",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074801,14/03/2018,"£120,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074802,14/03/2018,"£122,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074803,14/03/2018,"£127,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074804,14/03/2018,"£132,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074805,14/03/2018,"£137,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074806,14/03/2018,"£142,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074807,14/03/2018,"£147,500.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074808,14/03/2018,"£150,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000045,14/03/2018,"£15,810.82 ",IHS GLOBAL LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000047,14/03/2018,"£16,708.00 ",CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000050,14/03/2018,"£35,284.30 ",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000052,14/03/2018,"£20,000.00 ",IDOX SOFTWARE LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000030,14/03/2018,"£9,975.90 ",CLICK FIRE AND SECURITY LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3000036,14/03/2018,"£8,980.29 ",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3000038,14/03/2018,"£20,155.00 ",CALEDONIAN LIFT SERVICES LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4000043,14/03/2018,"£16,500.00 ",SCHNEIDER ELECTRIC LIMITED,SPECIFIED MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1006352,14/03/2018,"£9,970.37 ",BINDMONT PRINT SERVICES LTD,ELECTION MATERIALS,RESOURCES
Rochdale Borough Council,s1022733,14/03/2018,"£5,484.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022734,14/03/2018,"£6,151.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022736,14/03/2018,"£5,466.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1074818,15/03/2018,"£84,482.00 ",OLDHAM AND ROCHDALE GROUNDWORK TRUST LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1006357,15/03/2018,"£5,000.00 ",MS LOUISE QUIGLEY,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,r1001804,15/03/2018,"£36,416.00 ",TRANSPORT FOR GREATER MANCHESTER,BUS EXPENSES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1022737,15/03/2018,"£5,261.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015358,15/03/2018,"£7,580.00 ",NORTH OF ENGLAND TRAINING LTD,TRAINING,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d3000044,16/03/2018,"£53,000.00 ",F W SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1025568,16/03/2018,"£350,444.09 ",AXIOM EDUCATION ROCHDALE LIMITED,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph102630,16/03/2018,"£5,796.00 ",GREATER MANCHESTER MENTAL HEALTH NHS,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,s1022752,16/03/2018,"£5,431.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022753,16/03/2018,"£5,746.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,f1006370,18/03/2018,"£439,546.77 ",GREATER MANCHESTER PENSION FUND,SEVERANCE PAYMENTS,FINANCE CONTROL
Rochdale Borough Council,d1074934,19/03/2018,"£143,724.14 ",CARIBOU GREEN WARMTH LLP,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074936,19/03/2018,"£13,335.72 ",CARIBOU GREEN WARMTH LLP,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1074940,19/03/2018,"£5,210.00 ",PIONEER TREE SERVICES,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000067,19/03/2018,"£5,040.00 ",STHREE PARTNERSHIP LLP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000068,19/03/2018,"£5,199.00 ",ZEN INTERNET LIMITED,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000070,19/03/2018,"£6,895.00 ",DOTTED EYES LTD,CONSULTANT FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000051,19/03/2018,"£69,535.73 ",TRULINE CONSTRUCTION AND INTERIOR SERVICES LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3000053,19/03/2018,"£947,863.90 ",LCM GROUP,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006371,19/03/2018,"£6,399.00 ",HILL DICKINSON LLP,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,f1006374,19/03/2018,"£26,862.00 ",LINK4LIFE CHARITY,LINK 4 LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph102633,19/03/2018,"£327,779.00 ",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,s1022762,19/03/2018,"£8,050.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015377,19/03/2018,"£15,000.00 ",BURY GRAMMAR SCHOOL,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3000055,20/03/2018,"£315,327.09 ",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3000056,20/03/2018,"£5,525.00 ",BARRATT AND HUGHES FLOORING,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph102639,20/03/2018,"£17,867.95 ",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1022778,20/03/2018,"£10,937.45 ",CAREWATCH CARE SERVICES LTD,HOME CARE - ADULT SERVICES,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1074995,21/03/2018,"£5,000.00 ",REDACTED - PERSONAL DATA,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000082,21/03/2018,"£5,500.00 ",LUTRA CONSULTING,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025604,21/03/2018,"£30,500.00 ",CAPITA CHILDREN`S SERVICES,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025607,21/03/2018,"£37,100.00 ",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph102641,21/03/2018,"£9,212.50 ",RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,s1022779,21/03/2018,"£50,000.00 ",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015404,21/03/2018,"£15,000.00 ",ROCHDALE PIONEERS TRUST,COSTS MET BY SCHOOL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1075012,22/03/2018,"£5,500.00 ",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000068,22/03/2018,"£29,109.00 ",JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1025619,22/03/2018,"£5,828.00 ",WIGAN BOROUGH COUNCIL,TRAVELLING GENERAL EXPENSES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006384,22/03/2018,"£8,750.00 ",RADCLIFFE CHAMBERS,LEGAL SERVICES - SUPPORT SERVICE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph102643,22/03/2018,"£6,232.47 ",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,s1022799,22/03/2018,"£5,066.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022804,22/03/2018,"£8,120.00 ",NEWLINE ADAPTATIONS LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022807,22/03/2018,"£50,000.00 ",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d3000069,23/03/2018,"£21,000.00 ",F W SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4000090,23/03/2018,"£8,279.99 ",SCHNEIDER ELECTRIC LIMITED,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1006385,23/03/2018,"£25,000.00 ",OLDHAM COUNCIL,ACTIVITIES,RESOURCES
Rochdale Borough Council,s1022811,23/03/2018,"£10,015.25 ", NEWMARK CARE LTD,HOME CARE - ADULT SERVICES,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022817,23/03/2018,"£11,010.00 ",JUST CHECKING LTD,EQUIPMENT - GENERAL,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015411,23/03/2018,"£9,295.18 ",OLDHAM COUNCIL,CONSULTANT FEES,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d1075045,26/03/2018,"£5,000.00 ",BIFFA WASTE SERVICES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075047,26/03/2018,"£15,000.00 ",ENTERPRISE MANCHESTER PARTNERSHIP LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000089,26/03/2018,"£30,000.00 ",QA LTD,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000090,26/03/2018,"£24,448.34 ",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000094,26/03/2018,"£42,058.17 ",CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000071,26/03/2018,"£11,233.30 ",GROUNDWORK LANDSCAPES LIMITED,REPAIRS & ALTS OF BUILDINGS,ECONOMY DIRECTORATE
Rochdale Borough Council,d3000073,26/03/2018,"£5,000.00 ",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1025632,26/03/2018,"£94,000.00 ",ROCHDALE PIONEERS TRUST,CURRICULUM DEVELOPMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1022823,26/03/2018,"£26,584.00 ",N COMPASS,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,s1022834,26/03/2018,"£7,350.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015421,26/03/2018,"£5,772.82 ",BOLTON MBC,MARKETING EXPENDITURE,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015422,26/03/2018,"£8,000.00 ",JGM AGENCY,MARKETING EXPENDITURE,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015423,26/03/2018,"£10,032.00 ",SKY UK LTD,MARKETING EXPENDITURE,CHILDRENíS SOCIAL CARE
